Rank,Title,Developer,Publisher
1.,Hogwarts Legacy,Avalanche Software,Warner Bros. Games
2.,Call of Duty: Modern Warfare III,Sledgehammer Games,Activision Blizzard
3.,Madden NFL 24,EA Orlando,Electronic Arts
4.,Marvel's Spider-Man 2,Insomniac Games,Sony Interactive Entertainment
5.,The Legend of Zelda: Tears of the Kingdom,Nintendo EPD,Nintendo
6.,Diablo IV,Blizzard Entertainment,Activision Blizzard
7.,Call of Duty: Modern Warfare II,Infinity Ward,Activision Blizzard
8.,Mortal Kombat 1,NetherRealm Studios,Warner Bros. Games
9.,Star Wars Jedi: Survivor,Respawn Entertainment,Electronic Arts
10.,EA Sports FC 24,"EA Vancouver, EA Romania",Electronic Arts
